epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.3181,1.7481,4.17578,1.31849,0.0027,0.91071,0.00749,0.00245,1.40483,4.2967,1.05333,0.00028,0.00028,0.00028
2,32.973,1.31686,2.48586,1.14219,0.00249,0.83929,0.01976,0.00627,1.64465,4.32563,1.26327,0.000579858,0.000579858,0.000579858
3,48.4318,1.36106,2.07428,1.14867,0.00201,0.67857,0.01716,0.00439,1.5091,4.24435,1.25261,0.00087914,0.00087914,0.00087914
4,62.93,1.29483,1.88467,1.18785,0.0027,0.91071,0.18039,0.08927,1.37996,3.82886,1.19027,0.00117741,0.00117741,0.00117741
5,79.3882,1.33743,1.72234,1.18239,0.80293,0.21848,0.62438,0.39317,1.27896,3.19415,1.10579,0.00147422,0.00147422,0.00147422
6,97.4867,1.32951,1.6457,1.19645,0.77812,0.37577,0.58978,0.3047,1.25465,2.75267,1.09049,0.00176915,0.00176915,0.00176915
7,115.331,1.29606,1.58201,1.17895,1,0.31852,0.64837,0.40335,1.32861,3.1355,1.12577,0.00198246,0.00198246,0.00198246
8,136.079,1.31342,1.42349,1.18732,0.95304,0.80357,0.90417,0.63305,1.13734,2.19907,1.1236,0.00197616,0.00197616,0.00197616
9,156.9,1.21472,1.29307,1.1418,0.90897,0.71429,0.84375,0.56119,1.15694,1.6056,1.06604,0.0019689,0.0019689,0.0019689
10,176.697,1.18601,1.16902,1.09755,0.89897,0.79459,0.89353,0.54716,1.33865,1.41059,1.17181,0.00196069,0.00196069,0.00196069
11,199.142,1.19417,1.1271,1.09559,0.77431,0.73521,0.78531,0.40422,1.56579,1.68841,1.33293,0.00195155,0.00195155,0.00195155
12,225.681,1.15433,1.06684,1.1351,0.93275,0.83929,0.8642,0.52153,1.40242,1.34123,1.24887,0.00194147,0.00194147,0.00194147
13,250.604,1.2826,1.12217,1.17985,0.90425,0.75,0.85168,0.48011,1.54742,1.4913,1.26034,0.00193048,0.00193048,0.00193048
14,273.916,1.1679,1.04035,1.09616,0.87532,0.48214,0.52922,0.30418,1.48436,1.61876,1.18635,0.00191858,0.00191858,0.00191858
15,304.55,1.21737,1.03517,1.13051,0.91884,0.20249,0.26353,0.15328,1.41013,2.59207,1.20363,0.00190578,0.00190578,0.00190578
16,329.043,1.1828,0.94385,1.11589,0.81644,0.44643,0.48655,0.29436,1.402,2.05766,1.12139,0.0018921,0.0018921,0.0018921
