epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.0783,1.64718,3.84932,1.21225,0.00182,0.49091,0.00251,0.00071,1.37653,4.62064,1.05976,0.00054,0.00054,0.00054
2,94.9696,1.39432,2.29266,1.10125,0.00227,0.36364,0.02211,0.01117,1.58169,4.13431,1.16713,0.00109973,0.00109973,0.00109973
3,136.921,1.46614,2.07427,1.17346,0.8708,0.2451,0.69226,0.30111,1.69463,3.16358,1.15981,0.00165838,0.00165838,0.00165838
4,183.567,1.40615,1.88788,1.21648,0.94723,0.3264,0.40253,0.20865,1.66506,2.32884,1.23953,0.00199561,0.00199561,0.00199561
5,233.553,1.32574,1.57623,1.1327,0.87914,0.33069,0.36957,0.22992,1.37358,1.91217,1.12315,0.00199219,0.00199219,0.00199219
6,275.721,1.31842,1.33811,1.12415,0.71892,0.32727,0.31239,0.19581,1.21529,1.64767,1.01414,0.00198781,0.00198781,0.00198781
7,336.144,1.27839,1.17728,1.06453,0.86352,0.54545,0.54878,0.37232,1.21528,1.17037,1.03123,0.00198246,0.00198246,0.00198246
8,384.279,1.32242,1.08942,1.08408,0.90869,0.49091,0.50094,0.33005,1.219,1.29402,1.05215,0.00197616,0.00197616,0.00197616
9,447.077,1.20416,0.97374,1.05526,0.84102,0.52904,0.56213,0.35139,1.33302,1.13133,1.12517,0.0019689,0.0019689,0.0019689
10,508.044,1.22373,0.97196,1.07752,0.91591,0.60909,0.63856,0.40237,1.3577,0.99205,1.17442,0.00196069,0.00196069,0.00196069
11,571.069,1.30863,0.93133,1.12061,0.94697,0.86364,0.9479,0.59925,1.21604,1.10673,1.05184,0.00195155,0.00195155,0.00195155
12,605.665,1.21077,0.89271,1.06992,0.91435,0.93636,0.97535,0.51518,1.69048,0.96892,1.31736,0.00194147,0.00194147,0.00194147
13,639.522,1.1635,0.81792,1.02665,0.99417,0.88182,0.96454,0.63945,1.29619,0.92355,1.06498,0.00193048,0.00193048,0.00193048
14,673.257,1.18618,0.81043,1.04935,0.94427,0.90909,0.96406,0.61187,1.14925,1.01543,1.06778,0.00191858,0.00191858,0.00191858
15,704.072,1.18869,0.7992,1.04284,0.97035,0.8927,0.95996,0.58145,1.42446,0.92646,1.15417,0.00190578,0.00190578,0.00190578
16,735.606,1.13475,0.76262,1.04603,0.97054,0.89861,0.95189,0.63523,1.14352,0.87174,1.02355,0.0018921,0.0018921,0.0018921
17,767.425,1.18094,0.81413,1.09346,0.8995,0.94545,0.96375,0.64083,1.22927,0.84417,1.1125,0.00187754,0.00187754,0.00187754
18,801.128,1.19202,0.76248,1.07265,0.93575,0.94545,0.96671,0.61819,1.23773,0.81611,1.04692,0.00186213,0.00186213,0.00186213
19,828.262,1.18071,0.76818,1.04995,0.95289,0.9195,0.96762,0.68576,1.08621,0.73903,1.00444,0.00184588,0.00184588,0.00184588
